epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.943,1.7708,3.08223,1.38064,0.03446,0.4748,0.13092,0.08748,1.70465,3.486,1.33479,0.000328638,0.000328638,0.0674648
2,151.26,1.73066,2.14577,1.34976,0.47238,0.5242,0.40834,0.23221,1.71877,1.73006,1.24554,0.000661809,0.000661809,0.0344646
3,173.198,1.66494,1.99902,1.27939,0.59132,0.3922,0.30058,0.158,1.6115,2.09089,1.24626,0.000994323,0.000994323,0.00146381
4,191.195,1.65949,1.906,1.31968,0.50041,0.54498,0.44916,0.25705,1.63179,3.26117,1.25487,0.000997781,0.000997781,0.000997781
5,208.628,1.64169,1.8049,1.30034,0.48026,0.55033,0.53366,0.29607,1.69272,1.58743,1.27221,0.000996058,0.000996058,0.000996058
6,226.11,1.61454,1.7169,1.271,0.61628,0.51911,0.52707,0.28916,1.72121,1.87849,1.24109,0.000993845,0.000993845,0.000993845
7,243.342,1.64827,1.77665,1.2674,0.76193,0.45313,0.54204,0.34222,1.60753,1.55664,1.23973,0.000991145,0.000991145,0.000991145
8,261.366,1.58298,1.67612,1.27051,0.5127,0.74569,0.63043,0.42851,1.52024,1.43291,1.2248,0.00098796,0.00098796,0.00098796
9,280.475,1.54983,1.6573,1.24817,0.55082,0.79872,0.6577,0.39654,1.67442,1.62869,1.23102,0.000984293,0.000984293,0.000984293
10,299.049,1.54445,1.58545,1.24872,0.67799,0.71762,0.77318,0.53994,1.51027,1.37648,1.17608,0.000980149,0.000980149,0.000980149
11,316.776,1.55424,1.51738,1.24171,0.56908,0.76753,0.75479,0.46743,1.69426,1.36295,1.27635,0.000975531,0.000975531,0.000975531
12,334.325,1.49542,1.52871,1.21611,0.71001,0.72805,0.78016,0.51939,1.68073,1.31571,1.20414,0.000970443,0.000970443,0.000970443
13,360.504,1.50893,1.48018,1.23048,0.64202,0.7384,0.76422,0.47459,1.68864,1.32845,1.2364,0.000964892,0.000964892,0.000964892
14,378.637,1.52425,1.46561,1.23927,0.69843,0.75489,0.73956,0.45388,1.59617,1.22782,1.18443,0.000958881,0.000958881,0.000958881
15,395.685,1.5129,1.44111,1.228,0.65754,0.78519,0.69175,0.45686,1.57274,1.33047,1.16836,0.000952418,0.000952418,0.000952418
16,415.383,1.50295,1.46617,1.21905,0.65033,0.803,0.73191,0.43467,1.70721,1.35276,1.21123,0.000945509,0.000945509,0.000945509
17,434.904,1.46841,1.48434,1.1976,0.68754,0.77863,0.74538,0.45696,1.72077,1.35971,1.21281,0.00093816,0.00093816,0.00093816
18,454.261,1.48454,1.37728,1.21538,0.68434,0.72559,0.70995,0.42493,1.60757,1.29506,1.18977,0.000930378,0.000930378,0.000930378
19,474.186,1.47056,1.41648,1.2094,0.67998,0.79804,0.70677,0.47342,1.44854,1.2683,1.14322,0.000922172,0.000922172,0.000922172
20,492.56,1.4965,1.44612,1.23646,0.69732,0.80272,0.74726,0.47942,1.49413,1.20532,1.15463,0.000913549,0.000913549,0.000913549
21,511.348,1.48246,1.39515,1.21812,0.69696,0.79578,0.74015,0.49639,1.46829,1.16885,1.1326,0.000904518,0.000904518,0.000904518
22,528.988,1.43337,1.34773,1.19145,0.69006,0.81254,0.74271,0.45466,1.54104,1.27663,1.16792,0.000895088,0.000895088,0.000895088
23,546.229,1.46889,1.35951,1.21088,0.65093,0.78363,0.72329,0.48427,1.44066,1.24016,1.12954,0.000885268,0.000885268,0.000885268
24,563.223,1.45302,1.33348,1.19671,0.73166,0.79064,0.75817,0.45613,1.67784,1.1916,1.18541,0.000875068,0.000875068,0.000875068
25,580.358,1.43155,1.39068,1.18135,0.75123,0.77577,0.82062,0.48911,1.63556,1.19673,1.17947,0.000864498,0.000864498,0.000864498
26,597.836,1.4347,1.3233,1.19601,0.70919,0.8075,0.74457,0.46658,1.57929,1.20652,1.16765,0.000853568,0.000853568,0.000853568
