epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.934,1.83398,3.15434,1.41663,0.79721,0.27816,0.50199,0.25803,2.20983,3.29546,1.31638,0.000328947,0.000328947,0.000328947
2,646.912,1.75694,2.16574,1.33454,0.95947,0.414,0.54527,0.29458,2.29968,2.42657,1.45837,0.000655724,0.000655724,0.000655724
3,970.997,1.71273,1.91205,1.30997,0.75349,0.5467,0.58119,0.29173,2.12103,2.25046,1.36924,0.000975901,0.000975901,0.000975901
4,1296.58,1.68251,1.8201,1.30667,0.77314,0.57934,0.59924,0.37621,2.13736,2.29279,1.36599,0.0009703,0.0009703,0.0009703
5,1617.33,1.65078,1.73966,1.29867,0.49039,0.62846,0.59507,0.30348,2.2789,1.9743,1.44615,0.0009604,0.0009604,0.0009604
6,1937.73,1.65041,1.67569,1.29192,0.5264,0.68721,0.64937,0.33158,2.14637,1.75613,1.36115,0.0009505,0.0009505,0.0009505
7,2265.92,1.58821,1.58086,1.26379,0.78959,0.64261,0.68635,0.39762,2.04105,1.66539,1.29136,0.0009406,0.0009406,0.0009406
8,2613.16,1.56185,1.51371,1.23446,0.7933,0.63695,0.65084,0.39022,1.89348,1.67842,1.2649,0.0009307,0.0009307,0.0009307
9,2955.02,1.57627,1.51178,1.25566,0.8031,0.65582,0.67149,0.34292,2.19785,1.60917,1.33816,0.0009208,0.0009208,0.0009208
10,3297.07,1.53786,1.42883,1.23179,0.77147,0.67014,0.65828,0.38407,1.99954,1.56873,1.28135,0.0009109,0.0009109,0.0009109
11,3622.98,1.50864,1.44397,1.22681,0.60894,0.69486,0.69604,0.43422,1.79707,1.50261,1.19751,0.000901,0.000901,0.000901
12,3961.52,1.50179,1.40896,1.2197,0.80286,0.69506,0.71127,0.45186,1.78352,1.41769,1.18684,0.0008911,0.0008911,0.0008911
13,4305.46,1.5033,1.38895,1.21773,0.79779,0.64924,0.65907,0.46849,1.75564,1.61342,1.21947,0.0008812,0.0008812,0.0008812
14,4635.02,1.47845,1.368,1.21552,0.60202,0.70341,0.65937,0.464,1.73594,1.46094,1.19042,0.0008713,0.0008713,0.0008713
15,5010.39,1.46039,1.30811,1.18644,0.83635,0.65344,0.6921,0.48251,1.72846,1.43592,1.16326,0.0008614,0.0008614,0.0008614
16,5382.61,1.48043,1.34177,1.20097,0.71799,0.72098,0.72278,0.48807,1.72339,1.4454,1.15303,0.0008515,0.0008515,0.0008515
17,5725.4,1.45383,1.29973,1.18696,0.71239,0.70562,0.71917,0.52132,1.51809,1.33423,1.11232,0.0008416,0.0008416,0.0008416
